GeneID,BaseMean,log2(FC),StdErr,WaldStats,Pval,AdjP
Tmem184b,665.8671503,-4.533850999,0.154247817,-29.39329114,6.69E-190,1.07E-185
Cd276,280.7954714,-3.276488367,0.179647686,-18.23841122,2.56E-74,2.04E-70
Tnfaip8,208.7365249,3.436347116,0.287902789,11.93578962,7.70E-33,4.10E-29
Tmem233,4234.374504,2.343634005,0.215613019,10.86963124,1.61E-27,6.43E-24
Ly86,9144.768613,1.889476602,0.177671559,10.63465992,2.06E-26,6.57E-23
Fxyd2,392.1261677,1.817032873,0.172832121,10.51328228,7.50E-26,2.00E-22
Zmat4,639.5446912,2.675085859,0.257015523,10.40826571,2.27E-25,5.19E-22
Fgg,114.5077769,3.232937038,0.312233928,10.35421443,4.00E-25,8.00E-22
Cacnb4,3230.926389,-0.957145527,0.094744048,-10.10243443,5.39E-24,9.57E-21
Folh1,1347.748965,-1.374095836,0.137385333,-10.00176517,1.50E-23,2.39E-20
Rnf144b,443.6133931,-1.376940491,0.139580996,-9.864813478,5.91E-23,8.60E-20
Ccdc141,291.0523354,2.755021535,0.283818136,9.70699609,2.82E-22,3.75E-19
C530044C16Rik,76.77817969,3.014382767,0.315543025,9.553000793,1.26E-21,1.55E-18
Arap2,918.782453,-0.929618735,0.097884575,-9.497091212,2.16E-21,2.37E-18
Hoxb8,164.396516,-1.437281015,0.1513901,-9.4938904,2.23E-21,2.37E-18
Slc37a1,349.2511965,2.102681906,0.224839048,9.351942773,8.61E-21,8.60E-18
Necab2,506.9859319,1.735383169,0.18597081,9.331481473,1.04E-20,9.34E-18
Sp6,69.11684828,2.188609125,0.234559265,9.330729807,1.05E-20,9.34E-18
Bcam,9836.664766,1.684334488,0.181230404,9.293884735,1.49E-20,1.25E-17
Eps8,92.84820118,-1.649474064,0.178971707,-9.216395653,3.07E-20,2.37E-17
Ptprd,1225.794421,-1.225933585,0.133037109,-9.214974618,3.11E-20,2.37E-17
Gm16702,163.6777108,2.230357711,0.243159397,9.172410099,4.63E-20,3.36E-17
