GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
Tmem184b,451.1234057,-3.578847481,0.145947934,-24.52139875,8.73E-133,1.13E-128,0.0836873
Il31ra,163.3488409,-3.08133831,0.193350015,-15.93658166,3.53E-57,2.29E-53,0.118147556
Shtn1,36.3506987,-2.235696186,0.236845469,-9.439472072,3.75E-21,1.62E-17,0.212318769
Carhsp1,671.2912985,-0.702380211,0.077507003,-9.062151573,1.28E-19,4.14E-16,0.61455745
Cysltr2,69.78778893,-1.881330694,0.212915958,-8.836024829,9.92E-19,2.57E-15,0.271433239
Tmem233,2445.893185,-0.760304236,0.087015451,-8.737577331,2.38E-18,5.14E-15,0.59037182
Rmrp,2678.787934,0.853519157,0.104237758,8.188195631,2.65E-16,4.91E-13,1.806903121
Npy2r,145.5807875,-1.389368757,0.174997721,-7.939353439,2.03E-15,3.29E-12,0.38173179
Sst,35.51613488,-1.877629458,0.236953583,-7.924039118,2.30E-15,3.31E-12,0.272130495
Tubb2b,2379.054363,-0.505238051,0.064210199,-7.86850161,3.59E-15,4.65E-12,0.704544115
A3galt2,382.8378357,-0.894930564,0.115294662,-7.762116182,8.35E-15,9.84E-12,0.537773077
Cd24a,5474.86843,-0.692821776,0.090975702,-7.615459527,2.63E-14,2.84E-11,0.618642659
Htr1a,51.05648992,-1.414744943,0.194876162,-7.259712686,3.88E-13,3.87E-10,0.375076052
P2rx3,175.520132,-1.189089002,0.169988523,-6.995113425,2.65E-12,2.45E-09,0.438579717
Plcb3,4091.879522,-0.66775997,0.096890149,-6.891928391,5.50E-12,4.54E-09,0.629483309
Synpr,901.586024,-0.606249661,0.088000341,-6.889173967,5.61E-12,4.54E-09,0.656902126
Gfra2,1359.254439,-0.523510678,0.076310802,-6.860243459,6.87E-12,5.17E-09,0.6956769
Tshz2,2322.721435,-0.421899339,0.061554835,-6.854040659,7.18E-12,5.17E-09,0.746441271
Scg3,4967.766786,-0.706044997,0.103931911,-6.793341802,1.10E-11,7.47E-09,0.612998311
RP24-179D17.1,852.4235136,-0.484526903,0.072038038,-6.72598697,1.74E-11,1.13E-08,0.71473141
Lpar3,495.5277737,-0.750301669,0.112609568,-6.662858933,2.69E-11,1.66E-08,0.594479238
Bc1,1269.757538,0.749881128,0.116622569,6.429982912,1.28E-10,7.51E-08,1.681654263
Noxo1,22.96080053,1.455932716,0.228087689,6.383214818,1.73E-10,9.77E-08,2.743338631
Tnr,440.853846,-0.990873114,0.157514455,-6.290680536,3.16E-10,1.71E-07,0.503173164
Rn7sk,56953.14203,0.581486,0.093749398,6.202557188,5.56E-10,2.88E-07,1.496389761
Fbln2,978.4865822,0.564404773,0.091658924,6.15766309,7.38E-10,3.68E-07,1.47877727
Tmem158,470.9339942,-0.821132463,0.136203588,-6.028713902,1.65E-09,7.93E-07,0.565997481
Arhgef19,38.31063842,-1.245356613,0.208157265,-5.982767932,2.19E-09,9.80E-07,0.421803622
Efcc1,57.58283673,1.226568315,0.204828932,5.988257134,2.12E-09,9.80E-07,2.340096971
Moxd1,370.956571,-0.749563018,0.127585888,-5.874968071,4.23E-09,1.83E-06,0.594783686
Lpar5,116.1247009,-1.073675037,0.183837543,-5.840346975,5.21E-09,2.18E-06,0.475107196
Clgn,310.9531621,-0.585996238,0.100902235,-5.807564522,6.34E-09,2.57E-06,0.66618915
Prkca,553.9018324,-0.780650069,0.134629929,-5.798488305,6.69E-09,2.63E-06,0.582104442
Scn11a,4885.008373,-0.723038365,0.124889614,-5.789419496,7.06E-09,2.69E-06,0.60582022
Tmem151b,917.3734907,-0.485413403,0.084158495,-5.767847961,8.03E-09,2.97E-06,0.714292361
Isl2,1195.94543,-0.560718881,0.097980275,-5.722773086,1.05E-08,3.70E-06,0.677964257
Tmem45b,801.1786838,-0.816000842,0.142621859,-5.721429006,1.06E-08,3.70E-06,0.568014301
RP23-10G6.1,236.7262111,-0.68528814,0.12116781,-5.655694687,1.55E-08,5.16E-06,0.62188161
Trnp1,2542.238712,-0.412494622,0.072933629,-5.655753444,1.55E-08,5.16E-06,0.751323107
Prkcq,611.5739574,-0.811417705,0.143772705,-5.643753499,1.66E-08,5.39E-06,0.569821631
Apba1,5649.837921,-0.490513864,0.087112275,-5.630823691,1.79E-08,5.67E-06,0.711771532
Stat3,2911.642171,-0.36303466,0.064798548,-5.602512238,2.11E-08,6.52E-06,0.777527356
Anxa5,2544.132744,-0.42403535,0.076530031,-5.540770675,3.01E-08,9.03E-06,0.74533693
Syt4,1947.98384,-0.382080327,0.068998053,-5.537552294,3.07E-08,9.03E-06,0.767330323
Ndufs5,20.70060921,-1.262248395,0.229327523,-5.504129545,3.71E-08,1.07E-05,0.416893737
Scn10a,10780.25001,-0.563250735,0.102434343,-5.498651321,3.83E-08,1.08E-05,0.676775508
Arhgap39,505.0275938,-0.966747458,0.17655903,-5.475491448,4.36E-08,1.20E-05,0.511658292
Dgkh,9252.023195,-0.572724366,0.104828347,-5.463449374,4.67E-08,1.23E-05,0.67234594
Gng2,2178.637521,-0.439043197,0.080309748,-5.466873063,4.58E-08,1.23E-05,0.737623642
Camk4,297.8602496,-0.567618607,0.104862429,-5.412983597,6.20E-08,1.61E-05,0.674729616
RP24-192J22.1,101.2104729,-0.905511165,0.167458067,-5.407390527,6.39E-08,1.62E-05,0.533843523
Gna14,549.6691587,-0.683590943,0.127893663,-5.344994638,9.04E-08,2.25E-05,0.622613627
Armc8,244.5613432,-0.873108298,0.163756923,-5.331733651,9.73E-08,2.38E-05,0.545969287
Mrgprd,1293.781004,-0.803782691,0.152069949,-5.285611639,1.25E-07,2.97E-05,0.572845229
Ret,6883.754596,-0.378552458,0.071633027,-5.284607875,1.26E-07,2.97E-05,0.769208997
Arhgdia,3476.24699,-0.247319204,0.046950009,-5.267713707,1.38E-07,3.20E-05,0.84246041
Gabbr2,2457.99184,-0.394793744,0.075101526,-5.256800547,1.47E-07,3.33E-05,0.760598109
Mal2,849.0915673,-0.659562843,0.127964681,-5.15425693,2.55E-07,5.69E-05,0.633070097
Cd82,419.6924823,-0.738489722,0.145826305,-5.064173595,4.10E-07,9.01E-05,0.599366468
Actr1b,2182.355819,-0.389614177,0.077144636,-5.050437685,4.41E-07,9.35E-05,0.763333717
Fam60a,21.86228363,-1.196946671,0.236928467,-5.051932704,4.37E-07,9.35E-05,0.436197476
Gm26035,1329.463935,0.472339845,0.093577483,5.047580132,4.47E-07,9.35E-05,1.387357741
Gnao1,4262.563318,-0.591227838,0.117273854,-5.04142923,4.62E-07,9.35E-05,0.663777744
Nr1d2,347.8576429,0.560412164,0.11113443,5.042651193,4.59E-07,9.35E-05,1.474690462
Kcnf1,62.5513572,-1.174514373,0.23634389,-4.969514441,6.71E-07,0.000133777,0.443032864
Mmp25,269.5307714,-1.009574497,0.204418197,-4.938770196,7.86E-07,0.000154315,0.496692719
Cds2,1000.384803,-0.498653394,0.101153661,-4.929662334,8.24E-07,0.000159273,0.7077671
Gm22009,313.7159122,0.533844977,0.108845519,4.904611408,9.36E-07,0.000178346,1.447782594
Insrr,31.68179536,-1.153877144,0.235526775,-4.899133619,9.63E-07,0.000180732,0.449415833
Ldb2,561.2431876,-0.590536656,0.120744306,-4.890803351,1.00E-06,0.000185858,0.66409583
Cd44,1753.753021,-0.537344857,0.109949059,-4.887216533,1.02E-06,0.00018661,0.689037852
Dusp26,829.0062933,-0.598720112,0.122606098,-4.883281662,1.04E-06,0.00018773,0.660339516
Samd14,1100.841705,-0.592305267,0.122122706,-4.850083036,1.23E-06,0.00021901,0.663282208
Trpc6,123.2412618,-0.821625543,0.170592039,-4.816318199,1.46E-06,0.000256004,0.565804069
Bad,257.7888024,-0.586486731,0.122252843,-4.797325915,1.61E-06,0.000276506,0.665962695
Rsph3a,107.5651175,-0.978752439,0.204095038,-4.795571952,1.62E-06,0.000276506,0.507418337
Morc4,34.84662272,-1.132098872,0.236593841,-4.784988775,1.71E-06,0.000287697,0.456251475
Klf5,411.7007903,-0.450310383,0.094452144,-4.767603609,1.86E-06,0.000305722,0.731885373
Ppp2r5a,250.4682563,0.872882258,0.18305696,4.768364217,1.86E-06,0.000305722,1.831317909
