GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Gm26825,8369.084915,7.639649971,0.220769603,34.6046279,2.15E-262,4.33E-258,
RP23-392C8.4,4049.798558,9.08824154,0.272313617,33.37417212,3.25E-244,3.27E-240,
AC092404.2,1629.602562,8.586116478,0.3134029,27.3964168,3.03E-165,2.03E-161,
Napb,715.3170467,-5.171168652,0.230232842,-22.4606038,1.01E-111,5.07E-108,
Ppp1r9b,1820.585771,-3.807596207,0.173533437,-21.94157092,1.04E-106,4.20E-103,
Sqstm1,1480.569842,-4.53793551,0.228419765,-19.86664993,7.91E-88,2.65E-84,
Txndc5,926.690439,-3.703624941,0.190074855,-19.48508626,1.47E-84,4.23E-81,
Rps7,7560.609544,-3.614649163,0.20520453,-17.61486047,1.89E-69,4.77E-66,
Gm10600,268.9993581,6.722731282,0.391499124,17.17176582,4.32E-66,9.67E-63,
Ppm1g,922.6998655,-4.055856245,0.249185973,-16.27642277,1.45E-59,2.92E-56,
RP24-80P9.3,1119.236808,-7.189738173,0.445330597,-16.14472085,1.24E-58,2.26E-55,
Gm26718,241.1309734,-6.718282277,0.422266966,-15.91003516,5.40E-57,9.06E-54,
Tmcc2,955.3862474,-3.554456411,0.224079006,-15.8625142,1.15E-56,1.78E-53,
Uhmk1,1958.574268,-3.218204593,0.205151393,-15.68697416,1.86E-55,2.67E-52,
Dgkk,151.3477025,-6.32508124,0.42379552,-14.92484214,2.27E-50,3.05E-47,
Mup1,199.1178747,-5.680023987,0.384585978,-14.76919156,2.31E-49,2.91E-46,
RP23-49L8.5,139.8538736,-5.937815216,0.4059715,-14.62618735,1.91E-48,2.26E-45,
Syp,180.4202449,4.940456704,0.340443783,14.51181355,1.02E-47,1.14E-44,
Rfx4,120.0352045,-4.387674426,0.304434372,-14.41254611,4.32E-47,4.57E-44,
RP23-220D12.12,70.73421707,5.728779722,0.404051119,14.1783538,1.25E-45,1.26E-42,
Pink1,1050.548777,-3.661131333,0.259550889,-14.10563975,3.51E-45,3.36E-42,
Dpysl5,6608.958007,1.767267697,0.127165107,13.89742625,6.57E-44,6.01E-41,
Dnajc5,414.8510188,2.979131749,0.217258101,13.71240815,8.56E-43,7.49E-40,
Grb10,699.6703352,-2.314200765,0.170726978,-13.55497999,7.40E-42,6.21E-39,
RP23-422H14.1,148.4949413,-4.903031022,0.375832997,-13.0457705,6.72E-39,5.41E-36,
Pitpnm2,4624.262222,1.989451805,0.15326321,12.98062206,1.58E-38,1.22E-35,
Ankrd13a,585.107872,-2.297542143,0.179297511,-12.81413292,1.37E-37,1.02E-34,
Rn7sk,272.0986545,-2.739907281,0.215724204,-12.70097296,5.84E-37,4.20E-34,
RP23-152O2.3,130.6444714,-4.160236727,0.332793124,-12.50096962,7.37E-36,5.12E-33,
Sgsm2,532.5393194,2.229862614,0.178606003,12.4848134,9.04E-36,6.06E-33,
Gstm6,222.2421736,-2.790305872,0.224864782,-12.40881672,2.34E-35,1.47E-32,
Pitpnm1,892.653297,-1.803285799,0.145323079,-12.40880537,2.34E-35,1.47E-32,
RP24-230J14.3,87.29980099,-5.517256209,0.445911881,-12.37297421,3.66E-35,2.23E-32,
Cdv3,717.5854823,-3.46632199,0.281555348,-12.31133423,7.87E-35,4.66E-32,
Gp1bb,786.8238137,-2.268785574,0.184519175,-12.29566287,9.56E-35,5.50E-32,
RP23-81C12.1,6696.547192,-2.900257929,0.237345617,-12.21955547,2.44E-34,1.37E-31,
Gdf1,561.436743,-2.337909404,0.192918959,-12.11860887,8.42E-34,4.58E-31,
RP23-388P16.8,305.8158521,3.183470524,0.263417512,12.08526533,1.26E-33,6.70E-31,
RP24-289M23.1,73.21669561,-5.377343803,0.447122274,-12.02656211,2.58E-33,1.33E-30,
Abhd12,795.3202207,-2.871336073,0.241740307,-11.87777129,1.54E-32,7.58E-30,
Shisa8,216.2113945,-2.730005877,0.229839237,-11.87789304,1.54E-32,7.58E-30,
Stk11,1246.65692,-1.9730964,0.166441547,-11.85459061,2.04E-32,9.77E-30,
Itgbl1,77.32319105,-5.325737389,0.451876873,-11.78581535,4.62E-32,2.16E-29,
Rec8,73.56452219,-4.733249098,0.402589275,-11.75701737,6.50E-32,2.97E-29,
AC123679.2,105.3108597,4.073153948,0.348557024,11.68576062,1.51E-31,6.74E-29,
RP24-247B20.1,502.0867124,1.825895708,0.156515664,11.66589761,1.90E-31,8.33E-29,
Vash1,1288.238224,2.450854974,0.210201751,11.65953641,2.05E-31,8.79E-29,
Entpd4,2445.308463,1.524866055,0.130916458,11.64762686,2.36E-31,9.90E-29,
Plxnb2,2715.975334,-1.327855361,0.114253232,-11.62203764,3.18E-31,1.31E-28,
C1qtnf4,2022.420359,-1.570456046,0.135971422,-11.5498979,7.39E-31,2.98E-28,
Slbp,180.3324605,-3.062623064,0.266179693,-11.50584792,1.23E-30,4.87E-28,
RP23-344H4.8,69.64932738,-4.455472634,0.389616373,-11.43553747,2.78E-30,1.08E-27,
RP24-346O11.2,298.7815367,-2.86496002,0.251452503,-11.39364287,4.50E-30,1.71E-27,
Zbtb14,214.4907537,2.657978769,0.234131328,11.35251224,7.21E-30,2.69E-27,
Gm26809,1087.320969,2.517653115,0.22195361,11.3431501,8.02E-30,2.94E-27,
Zdhhc9,565.3566121,-3.411241097,0.301095852,-11.32941909,9.38E-30,3.37E-27,
Brd2,1425.113081,1.65603274,0.146395989,11.31200898,1.14E-29,4.04E-27,
RP24-555M20.2,64.44489378,-5.137684025,0.454918878,-11.29362678,1.41E-29,4.90E-27,
Jph4,296.3155919,2.931840579,0.260134707,11.27047065,1.84E-29,6.27E-27,
Dalrd3,985.5059435,-2.16035865,0.191840771,-11.26120707,2.04E-29,6.84E-27,
Etv5,366.0453762,-3.556745509,0.324678227,-10.95467825,6.31E-28,2.08E-25,
RP23-168E14.4,209.8257649,-3.686202053,0.336883928,-10.94205376,7.25E-28,2.36E-25,
Adipor2,183.2526932,2.93304539,0.270090457,10.85949284,1.80E-27,5.74E-25,
Ube3b,1166.095252,-1.733746973,0.159704383,-10.85597615,1.87E-27,5.88E-25,
Large,711.1906813,1.787955539,0.166126115,10.76263979,5.17E-27,1.60E-24,
Ranbp3l,407.6903785,2.718964334,0.253056296,10.74450381,6.29E-27,1.92E-24,
Odc1,1873.756494,-1.264498489,0.1177761,-10.73646091,6.86E-27,2.06E-24,
Ldhb,614.7202651,-3.238869349,0.303168993,-10.68337932,1.22E-26,3.61E-24,
Fscn1,1681.092889,-2.714454228,0.257392789,-10.54596065,5.30E-26,1.55E-23,
Ahcyl1,1194.140392,-1.613061568,0.15643887,-10.31113026,6.28E-25,1.81E-22,
Gaa,2903.416405,1.826534942,0.177283665,10.30289477,6.84E-25,1.94E-22,
Dcaf8,1031.004854,1.895306606,0.184888964,10.25105318,1.17E-24,3.27E-22,
Rrbp1,2346.415968,-1.382361678,0.135324737,-10.21514403,1.70E-24,4.68E-22,
Chpf,1681.817858,-1.411869492,0.138315448,-10.20760524,1.83E-24,4.92E-22,
Npas3,333.9683701,-2.761361484,0.270486335,-10.20887613,1.81E-24,4.92E-22,
Ptp4a2,730.2327508,-2.505230094,0.247494542,-10.12236502,4.40E-24,1.16E-21,
RP24-424K5.5,241.3593157,-2.552508888,0.252322251,-10.11606736,4.69E-24,1.23E-21,
Pcolce,297.2545646,-2.261399723,0.22400803,-10.0951726,5.80E-24,1.50E-21,
Amd2,99.26245731,3.945526498,0.391385539,10.08092048,6.71E-24,1.71E-21,
Jup,222.5301027,-2.153306969,0.213795041,-10.07182843,7.36E-24,1.85E-21,
Amn,210.0083894,-2.829477257,0.281053305,-10.06740431,7.70E-24,1.91E-21,
Pnoc,244.1673287,-2.319950359,0.232761051,-9.967090048,2.12E-23,5.21E-21,
Calu,260.282091,-3.373275524,0.339495238,-9.93614975,2.90E-23,7.03E-21,
Ndufv1,1086.317202,-2.083252708,0.210711395,-9.886758665,4.75E-23,1.14E-20,
RP24-230P10.6,57.64455543,-4.676315511,0.473168702,-9.882977241,4.93E-23,1.17E-20,
Nynrin,777.4676967,2.036025523,0.206471468,9.86105024,6.14E-23,1.44E-20,
Ergic3,1776.098174,-1.535128332,0.156050765,-9.837364962,7.77E-23,1.80E-20,
Dtx1,504.4644411,-2.298547994,0.234217358,-9.813738895,9.83E-23,2.25E-20,
Gm26527,210.2080683,-2.731841378,0.279599092,-9.770565996,1.51E-22,3.41E-20,
Gnao1,6842.430359,1.303707818,0.133715584,9.749856945,1.85E-22,4.13E-20,
Prrc2a,4197.982788,-1.440801336,0.148026881,-9.733376323,2.17E-22,4.81E-20,
Smox,919.0804857,-1.433555263,0.147515705,-9.717983998,2.53E-22,5.53E-20,
Itga3,1073.825925,-2.119421552,0.218306364,-9.708473522,2.77E-22,5.96E-20,
Kcnt1,1544.09435,1.553123044,0.159981333,9.708151655,2.78E-22,5.96E-20,
Gstm1,367.8532901,-2.382419381,0.245457319,-9.706043357,2.84E-22,6.02E-20,
Zfp68,472.8890558,-1.911547166,0.19699533,-9.703515153,2.91E-22,6.11E-20,
Ppfia3,1837.855902,-1.899846536,0.196434495,-9.671654364,3.98E-22,8.26E-20,
Mup7,208.7101044,-2.675462247,0.276704346,-9.669028632,4.08E-22,8.39E-20,
Sptbn1,8382.675389,-1.754564961,0.181552139,-9.664248339,4.28E-22,8.70E-20,
Man1c1,177.368869,-3.29217495,0.341186654,-9.649190294,4.95E-22,9.98E-20,
Cpxm1,1293.734559,-1.227032933,0.127740211,-9.6056905,7.56E-22,1.51E-19,
Cluh,109.4322454,3.283380464,0.342024495,9.599840104,8.01E-22,1.58E-19,
Txnip,3959.963769,-1.720436656,0.179460387,-9.586720988,9.09E-22,1.78E-19,
Vgll4,552.3795431,1.530273874,0.160043601,9.561606086,1.16E-21,2.24E-19,
