GeneID,Base mean,log2(FC),StdErr,Wald-Stats,PVal,AdjP,% WT
Zfp518b,193.6581945,-3.776827687,0.182218085,-20.72696396,1.98E-95,3.26E-91,
Rassf5,184.1921523,3.51077004,0.180499813,19.45026964,2.90E-84,2.39E-80,
Kpna2,230.2351041,3.364311228,0.18410875,18.27349996,1.35E-74,7.39E-71,
Alb,83.89631468,2.468691786,0.189099764,13.0549702,5.95E-39,2.45E-35,
Srp68,224.0701774,2.32380856,0.189052888,12.29184373,1.00E-34,3.30E-31,
RP23-103O7.2,56.10663213,-1.827291494,0.187715005,-9.734392278,2.15E-22,5.91E-19,
Mup7,57.49414346,1.714914583,0.188124345,9.11585677,7.81E-20,1.84E-16,
RP24-346O11.2,62.84337095,1.58863207,0.187557034,8.470127928,2.45E-17,5.05E-14,
Mup19,50.61641651,1.504827742,0.18290887,8.22719936,1.92E-16,3.51E-13,
Ndufv1,936.9585178,1.224086915,0.163191116,7.500940891,6.34E-14,1.04E-10,
Cebpa,36.33671083,1.346013445,0.180242943,7.467773323,8.16E-14,1.22E-10,
RP24-378G4.3,2014.782593,-0.730062016,0.102105941,-7.150044463,8.67E-13,1.19E-09,
Pitpnm2,1579.389095,-0.893326111,0.135274498,-6.603802796,4.01E-11,5.08E-08,
Lig3,92.21788653,-1.241858948,0.188931536,-6.573063304,4.93E-11,5.81E-08,
Sorl1,2916.618004,-0.672641786,0.104406985,-6.442497969,1.18E-10,1.29E-07,
RP23-214L4.1,56.35280423,1.20288632,0.188406551,6.384524911,1.72E-10,1.77E-07,
Agpat1,1022.090861,1.013878135,0.159766302,6.346007416,2.21E-10,2.14E-07,
Washc2,69.13876086,-1.165177913,0.188856291,-6.169653688,6.84E-10,6.27E-07,
Dusp26,1463.195318,0.803399891,0.131853407,6.093129546,1.11E-09,9.61E-07,
Atp6v0a1,3226.022409,0.846147965,0.139219275,6.077807589,1.22E-09,1.00E-06,
Gabarap,688.391374,0.645678885,0.106432774,6.066541923,1.31E-09,1.03E-06,
Atg9a,862.3917886,-0.663248715,0.110580506,-5.997880972,2.00E-09,1.50E-06,
Ptprf,232.4049468,-1.099459312,0.186602119,-5.891998008,3.82E-09,2.74E-06,
Klhl25,215.6835716,0.874215424,0.15110414,5.785516015,7.23E-09,4.97E-06,
Cyfip1,159.0207337,-1.085855788,0.188742496,-5.753107078,8.76E-09,5.78E-06,
Fxyd6,5288.076181,0.609402228,0.109950278,5.542525577,2.98E-08,1.89E-05,
Serpina3k,22.1127357,0.938006714,0.17056371,5.499450709,3.81E-08,2.33E-05,
Prkar1b,1467.572328,0.927300402,0.169445248,5.472566591,4.44E-08,2.61E-05,
Slc30a3,20.21657519,0.902441088,0.165470956,5.453773331,4.93E-08,2.71E-05,
Tfrc,4230.394539,-0.641368097,0.117587817,-5.454375415,4.91E-08,2.71E-05,
Mup11,18.14319541,0.886843609,0.165041721,5.373451037,7.72E-08,4.11E-05,
Pcdhgc3,611.3782715,-0.687036058,0.128719518,-5.337466038,9.43E-08,4.73E-05,
Rnf26,784.8195227,-0.82542704,0.154666128,-5.336831342,9.46E-08,4.73E-05,
Adam8,106.8204584,-0.979456125,0.184822932,-5.299429646,1.16E-07,5.63E-05,
Mink1,2426.630768,0.793540255,0.149997852,5.290344117,1.22E-07,5.75E-05,
RP23-17K9.20,17.91729981,0.865334435,0.163892402,5.279893532,1.29E-07,5.76E-05,
Vrk2,22.72656051,0.893828009,0.169233251,5.281633517,1.28E-07,5.76E-05,
Gm26649,636.1225069,-0.948661222,0.180028286,-5.269512036,1.37E-07,5.94E-05,
Fchsd1,150.6444162,0.917850802,0.174878507,5.248505485,1.53E-07,6.45E-05,
Smtn,651.1032641,0.944483672,0.180083521,5.244697927,1.57E-07,6.45E-05,
Gas2l1,1987.009937,0.466261201,0.089907948,5.185984225,2.15E-07,8.64E-05,
