,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
-343C11.2,15.08664785,11.30605083,6.466066247,7.826628138,3.067946167,15.95968346,24.57791841,9.526333886
00R_AC107638.2,0,2.055645606,1.847447499,0,1.022648722,3.191936691,1.024079934,0.952633389
00R_Pgap2,0,5.139114016,14.77957999,0,8.181189778,13.83172566,0,0
0610009O20Rik,274.222011,260.0391692,264.1849924,266.1053567,298.6134269,285.1463444,234.5143048,310.5584847
1-Mar,5.476492241,12.80882617,8.764020609,7.015223116,14.53779902,15.1017473,6.655043303,3.359281475
1-Sep,7.155696809,12.6922841,5.095932108,4.105696352,3.715902978,41.26818974,17.27036461,4.280658857
10-Mar,2.024156831,2.625167502,0,5.030555114,1.935533467,4.551082495,6.049449076,2.626535752
10-Sep,55.59509461,62.02283489,49.55161659,51.84219378,70.2445838,66.67342426,81.35371207,58.66506509
11-Mar,90.45911262,91.64699121,94.76729427,87.38133562,69.83262544,60.47138672,65.4371471,59.00195142
11-Sep,364.1859152,259.0031872,361.3267064,312.8738723,329.811626,246.8158892,286.263208,319.5217299
1110020A21Rik,3.549799495,2.055645606,0.92372375,0,3.067946167,1.063978897,2.048159867,1.905266777
1110036E04Rik,0,0,0,0,0,0,0,0
12-Sep,0,0,0,0,0,0,0,0
14-Sep,0,0,1.847447499,0,1.022648722,0,0,0
15-Sep,668.8145532,683.6099751,749.1624744,647.7810857,660.0929823,660.5581581,714.865056,789.5262707
1600014C23Rik,0,0,0,0,0,0,0,0
1600017P15Rik,0,0,0,0,1.022648722,0,0,0
1700015F17Rik,3.522364043,0,3.666338142,0,0.393069488,0.235366298,0.393619595,3.700649992
1700018M17Rik,0,0,0,0,0,0,0,0
1700022N22Rik,2.662349621,2.055645606,1.847447499,5.59044867,7.158541056,9.575810074,1.024079934,3.810533554
1700024J04Rik,0.887449874,0,0.92372375,0,2.045297444,4.255915588,0,0
1700028P14Rik,0,0,0,0,0,0,0,0
1700037F24Rik,0,1.027822803,0,1.118089734,1.022648722,0,0,0
1700067P10Rik,0,0,0,0,0,0,0,0
1700086O06Rik,26.23518314,16.11511144,19.0809768,16.1671398,19.0779557,15.02486752,18.65731486,15.16129286
1700123K08Rik,0.628381586,0,0,0.791692039,0,1.101743753,1.972545538,0
1810049J17Rik,79.87048864,67.83630501,71.12672872,67.08538404,41.92859761,84.05433287,63.49295589,72.40013754
1810055G02Rik,83.42028813,58.58589978,81.28768996,54.78639696,78.74395161,68.09464941,60.42071609,73.35277092
19.47525802-47711187.1,0.887449874,0,0,0,1.022648722,1.063978897,1.024079934,0.952633389
2-Mar,658.7917014,746.3028988,779.7260003,777.9248523,783.7464407,799.4857397,633.4830312,919.1987573
2-Sep,51.21192334,61.1669187,53.72270156,50.73844099,51.41178619,60.80107097,78.03670021,70.21819799
2.145048962-146444327.1,0,0,0,0,0,0,0,0
2010001E11Rik,0.887449874,0,0,0,0,0,0,0
2010003K11Rik,1.774899747,1.027822803,0,1.118089734,1.022648722,0,2.048159867,2.857900166
2010015M23Rik,3.549799495,1.027822803,0.92372375,3.354269202,4.090594889,3.191936691,6.144479602,3.810533554
2010110K18Rik,0.770363904,0,1.603703951,0,0.887725252,1.847205034,0.888967636,5.798111805
2010300F17Rik,0.887449874,0,0,2.236179468,0,1.063978897,0,0
